"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"1410","Normal/Others","WS/MP839/2023-2024/34138-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF KULDEEP PATERKARMOHALLA BAHADUR GANJ","07-Oct-2023","243000","20-Nov-2023"
"1411","Normal/Others","WS/MP839/2023-2024/34139-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI PRASHANT KHNADELWAL","07-Oct-2023","243000","20-Nov-2023"
"1412","Normal/Others","WS/MP839/2023-2024/34140-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI SURENDER SINGH","07-Oct-2023","243000","20-Nov-2023"
"1413","Normal/Others","WS/MP839/2023-2024/34141-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI DILER SINGH","07-Oct-2023","243000","20-Nov-2023"
"1414","Normal/Others","WS/MP839/2023-2024/34142-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI BARYAM SINGH","07-Oct-2023","243000","20-Nov-2023"
"1415","Normal/Others","WS/MP839/2023-2024/34143-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI SHUBEG SINGH","07-Oct-2023","243000","20-Nov-2023"
"1416","Normal/Others","WS/MP196/2023-2024/34144-Construction of public libraries and reading rooms","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Brij Lal (2020-26) (2020-2026)","Elected MP","Construction of library in Dr. Amebedkar Siksha Samiti, Sarnath, Varanasi","07-Oct-2023","2626752","04-Dec-2023"
"1417","Normal/Others","WS/MP839/2023-2024/34161-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASL LIGHT NEAR DEV NARAYAN MANDIR ASHRAM","07-Oct-2023","243000","20-Nov-2023"
"1418","Normal/Others","WS/MP839/2023-2024/34162-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF HARI RAM","07-Oct-2023","243000","20-Nov-2023"
"1419","Normal/Others","WS/MP839/2023-2024/34163-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF BICHE LAL","07-Oct-2023","243000","20-Nov-2023"
"1420","Normal/Others","WS/MP839/2023-2024/34164-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR KABRISTAN","07-Oct-2023","243000","20-Nov-2023"
"1421","Normal/Others","WS/MP839/2023-2024/34165-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF CHAKKI SHRI DEEN MOHJAMMAD","07-Oct-2023","243000","20-Nov-2023"
"1422","Normal/Others","WS/MP839/2023-2024/34166-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR MASJID","07-Oct-2023","243000","20-Nov-2023"
"1423","Normal/Others","WS/MP839/2023-2024/34167-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF HARVINDER SINGH","07-Oct-2023","243000","20-Nov-2023"
"1424","Normal/Others","WS/MP839/2023-2024/34168-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF NISHANT SINGH","07-Oct-2023","243000","20-Nov-2023"
"1425","Normal/Others","WS/MP839/2023-2024/34169-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF AFSAR ALI KHAN","07-Oct-2023","243000","20-Nov-2023"
"1426","Normal/Others","WS/MP839/2023-2024/34170-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI UMESH CHANDRA MISHRA","07-Oct-2023","243000","20-Nov-2023"
"1427","Normal/Others","WS/MP839/2023-2024/34171-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI SACHIN VERMA","07-Oct-2023","243000","20-Nov-2023"
"1428","Normal/Others","WS/MP839/2023-2024/34172-Lighting of public spaces","Jammu And Kashmir","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","LED HIGH MASK LIGHT NEAR HOUSE OF SHRI ASHIF","07-Oct-2023","243000","20-Nov-2023"
"1429","Normal/Others","WS/MP103/2023-2024/34180-Construction of community centers and community halls","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Const. Work of Samudayik bhawan at Ward NO 01 Manpur","07-Oct-2023","1148700","07-Mar-2024"
"1430","Normal/Others","WS/MP103/2023-2024/34203-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Constructions of CC Road at Harijan Basti of Dhrampuri","07-Oct-2023","989050","24-Feb-2024"
"1431","Normal/Others","WS/MP103/2023-2024/34204-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Const. of CC Road at Village Amlikheda, Harijan Basti Block Sanwer , Indore","07-Oct-2023","989638","24-Feb-2024"
"1432","Normal/Others","WS/MP103/2023-2024/34205-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Const.of CC Road at Village Kattkya Teh. Sawer Dist Indore","07-Oct-2023","989758","24-Feb-2024"
"1433","Normal/Others","WS/MP138/2023-2024/34248-Construction of New Building","Odisha","MALKANGIRI(District Collector Malkangiri_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","construction of the Lawyers Association Building District Bar Association,  Malkangiri at Malkangiri-764045, Odisha","07-Oct-2023","1000000","01-Mar-2024"
"1434","Normal/Others","WS/MP140/2023-2024/34273-Construction of roads, link roads, pathways or any other road with or without drainage system","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding Interlocks on Main street of village paths","08-Oct-2023","1000000","31-Oct-2023"
"1435","Normal/Others","WS/MP103/2023-2024/34529-Construction of additional rooms and halls in the existing public and community building","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","construction of additional room in samudaiyk bhawa at JamKhurd tehsil Mhow Distl Indore","09-Oct-2023","500000","19-Feb-2024"
"1436","Normal/Others","WS/MP103/2023-2024/34530-Construction of community centers and community halls","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of Samudayik Bhawan  at Village Khurdi Teh.Mhow Dist. Indore","09-Oct-2023","1169664","06-Mar-2024"
"1437","Normal/Others","WS/MP103/2023-2024/34534-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of CC Road at Village Magarda Janpad Sehore Dist. Sehore","09-Oct-2023","1500000","19-Feb-2024"
"1438","Normal/Others","WS/MP103/2023-2024/34535-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Gym Equipment at Kasturba Gandhi Girls Hostel (9-12)Mhow Tehsil Indore MP","09-Oct-2023","696867","17-Jan-2024"
"1439","Normal/Others","WS/MP103/2023-2024/34536-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction  CC Road at Grampanchayat Bhatkhedi Tehsil Mhow Dist. Indore (MP)","09-Oct-2023","799940","19-Feb-2024"
"1440","Normal/Others","WS/MP103/2023-2024/34537-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","SHAJAPUR(District Collector Shajapur_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of C.C road at Village Behrawal Janpad Kalapipal Dist. Shajapur (MP)","09-Oct-2023","1000000","01-Feb-2024"
"1441","Normal/Others","WS/MP103/2023-2024/34555-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of CC Road at Harijan Basti of Village Borali , Badnawar Distn Dhar (MP)","09-Oct-2023","698653","13-Feb-2024"
"1442","Normal/Others","WS/MP103/2023-2024/34556-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of CC Road at Harijan basti Village Borali , Badnawar Dist Dhar (MP)","09-Oct-2023","700000","13-Feb-2024"
"1443","Normal/Others","WS/MP103/2023-2024/34640-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Garden Open gym equipment in ST Senior Boys Hostel in Made Block Mhow","09-Oct-2023","696867","17-Jan-2024"
"1444","Normal/Others","WS/MP103/2023-2024/34641-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Garden Open gym equipment in ST Senior Boys Hostel in Choral Block Mhow","09-Oct-2023","696867","17-Jan-2024"
"1445","Normal/Others","WS/MP103/2023-2024/34642-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Garden Open gym equipment in ST Senior Girls Hostel in khurdi  Block Mhow","09-Oct-2023","696867","17-Jan-2024"
"1446","Normal/Others","WS/MP103/2023-2024/34643-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Garden Open gym equipment in ST  Boys Ashram (1-8) in Patalpani  Block Mhow District Indore","09-Oct-2023","696867","17-Jan-2024"
"1447","Normal/Others","WS/MP103/2023-2024/34644-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Garden Open gym equipment in SC Senior Boys Hostel in Harsola Block Mhow","09-Oct-2023","696867","17-Jan-2024"
"1448","Normal/Others","WS/MP103/2023-2024/34645-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Garden Open gym equipment in Mahavidhyalayin SC Boys Hostel in Dongargaon Block Mhow District Indore","09-Oct-2023","696867","17-Jan-2024"
"1449","Normal/Others","WS/MP103/2023-2024/34646-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Garden Open gym equipment in  Senior ST Boys Hostel in Mhowgaon,  Block Mhow District Indore","09-Oct-2023","696867","17-Jan-2024"
"1450","Normal/Others","WS/MP103/2023-2024/34647-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","nstallation of Fixed Garden Open gym equipment in Senior SC Girls Hostel in Mhowgaon, Block Mhow District Indore","09-Oct-2023","696867","17-Jan-2024"
"1451","Normal/Others","WS/MP103/2023-2024/34648-Installation of fixed garden gym equipment","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Installation of Fixed Garden Open gym equipment in Senior ST Boys Hostel in Kalakund Block Mhow District Indore U","09-Oct-2023","696867","17-Jan-2024"
"1452","Normal/Others","WS/MP103/2023-2024/34681-Construction of community centers and community halls","Madhya Pradesh","CHHATARPUR(District Collector Chhatarpur_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of Community Building in  PALTA Gram Vidhansabha - Chandla  District  Chhatrpur","09-Oct-2023","2000000","04-Mar-2024"
"1453","Normal/Others","WS/MP103/2023-2024/34682-Construction of community centers and community halls","Madhya Pradesh","CHHATARPUR(District Collector Chhatarpur_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of Community Building in Gram Chodakhere Gram Panchayat Khajwa  Block - Rajnagar District Chhatrpur","09-Oct-2023","2000000","01-Mar-2024"
"1454","Normal/Others","WS/MP103/2023-2024/34683-Construction of community centers and community halls","Madhya Pradesh","CHHATARPUR(District Collector Chhatarpur_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of Community Building in Gram Bairagya Pukhari  Block - Chandla District Chhatrpur","09-Oct-2023","2000000","04-Mar-2024"
"1455","Normal/Others","WS/MP103/2023-2024/34739-Construction of community centers and community halls","Madhya Pradesh","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","Construction of Community Building  in front of aganwadi and panchayat Bhawan in gram Panchayat Machla JP Indore district Indore","09-Oct-2023","500000","28-Feb-2024"
"1456","Normal/Others","WS/MP140/2023-2024/35192-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker for Nagar Panchyat (Lohian Khas). 2mm stainless sheet AISI 304 Material etc.","10-Oct-2023","336300","03-Jan-2024"
"1457","Normal/Others","WS/MP140/2023-2024/35193-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Nagar Panchyat (Mehatpur). 2mm stainless sheet AISI 304 Material etc.","10-Oct-2023","264208","08-Jan-2024"
"1458","Normal/Others","WS/MP052/2023-2024/35262-Construction of rooms and halls in school and colleges","Bihar","JEHANABAD(DISTRICT PLANNING OFFICER JEHANABAD_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction of class room on 2nd floor of Kamta Prasad Sharma Graduate College in village Utimpur of Hulasganj block of district Jehanabad. Estimated Amount Rs. 10 lacs.","10-Oct-2023","1000000","28-Feb-2024"
"1459","Normal/Others","WS/MP201/2023-2024/35268-Lighting of public spaces","Uttar Pradesh","Mahrajganj(DISTRICT MAGISTRAE MAHARAJGANJ_IDA)","Smt. Sangeeta Yadav (2022-28) (2022-2028)","Elected MP","supply and installation of semi high mast light at various public places with each cost 2.48 lakh approx with add upto 133.92 lakh approx.","10-Oct-2023","13392000","20-Dec-2023"
"1460","Normal/Others","WS/MP052/2023-2024/35811-Construction of public staircase/ stair ghat for public convenience","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction work of Stair Ghat in Public Pokhara in Village Yogiya Tourism of East Turhapatti, Gram Panchayat Raj of Chanpatia. Estimated Amount Rs. 9 lakh.","11-Oct-2023","895799","20-Dec-2023"
"1461","Normal/Others","WS/MP140/2023-2024/35841-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kang Kalan. 2mm stainless sheet AISI 304 Material etc. (SC)","11-Oct-2023","336300","29-Nov-2023"
"1462","Normal/Others","WS/MP140/2023-2024/35860-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kotha. 2mm stainless sheet AISI 304 Material etc. (SC)","11-Oct-2023","336300","29-Nov-2023"
"1463","Normal/Others","WS/MP140/2023-2024/35868-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Maharajwala. 2mm stainless sheet AISI 304 Material etc. (SC)","11-Oct-2023","336300","29-Nov-2023"
"1464","Normal/Others","WS/MP847/2023-2024/36265-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1465","Normal/Others","WS/MP847/2023-2024/36266-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1466","Normal/Others","WS/MP847/2023-2024/36267-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1467","Normal/Others","WS/MP847/2023-2024/36268-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1468","Normal/Others","WS/MP847/2023-2024/36269-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","12-Feb-2024"
"1469","Normal/Others","WS/MP847/2023-2024/36270-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1470","Normal/Others","WS/MP847/2023-2024/36271-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1471","Normal/Others","WS/MP847/2023-2024/36272-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1472","Normal/Others","WS/MP847/2023-2024/36273-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","239120.7","03-Jan-2024"
"1473","Normal/Others","WS/MP847/2023-2024/36274-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MASK LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1474","Normal/Others","WS/MP847/2023-2024/36292-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1475","Normal/Others","WS/MP847/2023-2024/36293-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1476","Normal/Others","WS/MP847/2023-2024/36294-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1477","Normal/Others","WS/MP847/2023-2024/36295-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","03-Jan-2024"
"1478","Normal/Others","WS/MP847/2023-2024/36296-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","03-Jan-2024"
"1479","Normal/Others","WS/MP847/2023-2024/36297-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","03-Jan-2024"
"1480","Normal/Others","WS/MP847/2023-2024/36298-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","03-Jan-2024"
"1481","Normal/Others","WS/MP847/2023-2024/36299-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","239236.34","03-Jan-2024"
"1482","Normal/Others","WS/MP847/2023-2024/36300-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","12-Feb-2024"
"1483","Normal/Others","WS/MP847/2023-2024/36301-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1484","Normal/Others","WS/MP847/2023-2024/36307-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1485","Normal/Others","WS/MP847/2023-2024/36308-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1486","Normal/Others","WS/MP847/2023-2024/36309-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","04-Jan-2024"
"1487","Normal/Others","WS/MP847/2023-2024/36310-Lighting of public spaces","Uttar Pradesh","HAMIRPUR(DISTRICT MAGISTRATE HAMIRPUR_2)","Shri Baburam Nishad (2022-28) (2022-2028)","Elected MP","LED SEMI HIGH MAST LIGHT(6 LED)","12-Oct-2023","243000","12-Feb-2024"
