"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"5968","Normal/Others","WS/MP113/2025-2026/145299-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Construction of cement road under ward no 11","03-Oct-2024","500000","04-Nov-2025"
"5969","Normal/Others","WS/MP113/2025-2026/145300-Providing drains and gutters for public drainage","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Providing internal drainage Line under ward 51","03-Oct-2024","500000","08-Dec-2025"
"5970","Normal/Others","WS/MP113/2025-2026/145301-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA)","Shri Imran Pratapgarhi (2022-28) (2022-2028)","Elected MP","Construction of cement road from Feroz Khan House to Salim Bhai House","03-Oct-2024","500000","04-Nov-2025"
"5971","Normal/Others","WS/MP112/2025-2026/145302-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","Construction of roads & drainage system in Ujalaiwadi, Tal. Karvir","03-Oct-2024","999999","04-Jun-2025"
"5972","Normal/Others","WS/MP112/2025-2026/145309-Construction of roads, link roads, pathways or any other road with or without drainage system","Maharashtra","KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA)","Shri Dhananjay Bhimrao Mahadik (2022-28) (2022-2028)","Elected MP","Construction of roads in sheloli, Tal.Bhudargad","03-Oct-2024","998896","25-Mar-2026"
"5973","Normal/Others","WS/MP096/2024-2025/145338-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Machingal – Pokkattiyil road/pathway, Ward No. 05, Ozhur Panchayat","04-Oct-2024","407534","16-Nov-2024"
"5974","Normal/Others","WS/MP096/2024-2025/145343-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of TNK - Kallidumban Kunhimuhammed road/pathway, ward No. 9, Edakkara Panchayat","04-Oct-2024","408921","28-Nov-2024"
"5975","Normal/Others","WS/MP096/2025-2026/145344-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Chakkini Palakkode road/pathway, Ward no.40, Manjeri Municipality","04-Oct-2024","500000","16-Jan-2026"
"5976","Normal/Others","WS/MP096/2024-2025/145345-Purchase of vans and buses for educational institutions","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Purchasing of Vehicle (Mahindra Bolero) for IGMMR School, Nilambur, Ward No. 06, Nilambur Municipality (ST)","04-Oct-2024","916838","13-Jan-2025"
"5977","Normal/Others","WS/MP096/2024-2025/145346-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of Parammalkandi – Thekke Chalil road/pathway, Ward No. 08, Kondotty Municipality","04-Oct-2024","248336","18-Mar-2025"
"5978","Normal/Others","WS/MP096/2024-2025/145347-Construction of boundary walls of existing public and community buildings","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of side protection wall at town square, Wandoor, ward no. 19, Wandoor Panchayat","04-Oct-2024","500000","28-Nov-2024"
"5979","Normal/Others","WS/MP096/2025-2026/145348-Construction of additional rooms and halls in the existing public and community building","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","Construction of a portion of the first storey building of C H Mohammed Koya Chair for Studies on Developing Societies at University of Calicut, Ward No.22, Pallikkal Panchayat","04-Oct-2024","2317482","23-Jul-2025"
